Series Name,Series Code,Country Name,2019 [YR2019]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Afghanistan,31.802
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Albania,11.62
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Algeria,23.583
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,American Samoa,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Andorra,7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Angola,40.232
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Antigua and Barbuda,15.107
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Argentina,16.833
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Armenia,13.646
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Aruba,11.756
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Australia,12.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Austria,9.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Azerbaijan,14.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Bahamas, The",13.882
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bahrain,13.622
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bangladesh,17.868
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Barbados,10.621
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belarus,9.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belgium,10.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Belize,20.51
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Benin,35.831
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bermuda,8.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bhutan,17.012
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bolivia,21.455
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bosnia and Herzegovina,7.938
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Botswana,24.234
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brazil,13.703
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,British Virgin Islands,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Brunei Darussalam,14.459
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Bulgaria,8.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burkina Faso,37.453
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Burundi,38.377
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cabo Verde,19.061
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cambodia,22.02
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cameroon,34.891
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Canada,9.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cayman Islands,9.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Central African Republic,35.09
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chad,41.665
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Channel Islands,9.811
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Chile,12.187
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,China,10.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Colombia,14.655
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Comoros,31.407
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Congo, Dem. Rep.",40.639
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Congo, Rep.",32.397
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Costa Rica,13.689
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cote d'Ivoire,35.464
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Croatia,8.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cuba,9.962
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Curacao,10.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Cyprus,10.24
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Czech Republic,10.5
